Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:33.997, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.8, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.39, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.100, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.131, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.142, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.153, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.184, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.205, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.286, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.307, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.318, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.339, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.350, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.362, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.403, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.434, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.445, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.456, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.477, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.488, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.499, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.530, (priority): 3, (size): 3
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.561, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.572, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:34.623, (priority): 3, (size): 100
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.20, (priority): 3, (size): 100
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.22, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.24, (priority): 3, (size): 100
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.25, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.56, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.87, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.108, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.149, (priority): 3, (size): 100
Random loss event occurred: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:41:35.160, (priority): 3, (size): 3
