P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.733, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.743, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.753, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.763, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.773, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.783, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.793, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.803, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.823, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.834, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.844, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.854, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.864, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.874, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.884, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.894, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.904, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.924, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.934, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.945, (priority): 3, (size): 10
P3 Queue was full: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:47:48.955, (priority): 3, (size): 10
