no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:39.843, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:39.943, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.44, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.144, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.244, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.344, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.444, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.544, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.644, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.744, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.844, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:40.944, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.44, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.145, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.245, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.345, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.445, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.545, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.645, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.745, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.845, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:41.945, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.45, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.145, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.246, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.346, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.446, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.546, (priority): 2, (size): 100
no forwarding entry was found: (src): mumble-35.cs.wisc.edu::2000, (dest): mumble-35.cs.wisc.edu::4000, (time): 14:49:42.646, (priority): 2, (size): 100
